~ Val B R M S X G C L I F T W H T I L V C P S V A T Y X E G P E H N X B G C L P I O Y R J V H H Q P W A O M H S Y Y M F S I W W K V F F X O M U W J E K K Y O V A B U C B G L J V H M T E A B K V B N K W K G 
Ve ~ 9783 ~ 3117 ~ ~ 3953 ~ 5932 7086 ~ 3118 ~ ~ ~ 9093 3920 ~ ~ 1682 6993 4647 ~ 917 ~ ~ 1326 ~ 2816 ~ ~ 2634 ~ 9590 5866 41 ~ 7793 7308 ~ 2740 6863 ~ 3537 ~ ~ 2420 ~ 2933 ~ ~ 486 ~ ~ 7885 ~ ~ 513 3891 ~ ~ ~ ~ ~ 7605 ~ 4592 ~ ~ ~ 9951 3321 ~ ~ ~ 9854 ~ 8058 526 ~ 5588 2536 7121 2912 374 ~ ~ ~ ~ ~ 6586 ~ 3048 ~ ~ 8888 ~ 9492 ~ ~ 1335 
Ht ~ 4090 ~ 6634 ~ 7308 ~ 4387 ~ 884 ~ 8789 ~ ~ ~ 5364 1746 ~ 2428 4672 4840 7517 2981 5902 5651 ~ ~ 8374 ~ ~ ~ ~ 693 ~ ~ ~ 5579 ~ ~ 5606 2468 2133 144 366 6703 2678 2981 9908 337 340 7898 7283 ~ 1327 6767 697 ~ ~ 4060 3420 ~ ~ ~ 7368 8221 3683 9018 ~ 4402 5909 1998 1155 3875 ~ 1804 4770 ~ 4128 ~ 4048 ~ ~ 7307 ~ 1435 4399 3342 9459 ~ ~ ~ 9594 ~ 9462 ~ ~ ~ ~ ~ 5874 ~ 
Hj ~ 281 9676 6181 5000 ~ 33 ~ ~ ~ ~ ~ 7345 8193 8858 542 ~ ~ ~ 9680 ~ 2942 3739 ~ ~ 6202 9525 6964 165 ~ 9999 ~ ~ ~ ~ ~ ~ 4399 ~ ~ 4118 1622 700 ~ 5917 ~ ~ ~ 1365 1739 3743 ~ ~ ~ ~ 1620 1928 ~ ~ ~ 3323 3275 ~ ~ ~ 3952 ~ 6620 6846 7046 ~ ~ ~ 5794 5394 ~ ~ ~ 3694 ~ ~ 8464 293 ~ 7873 ~ 7996 ~ 1301 5705 4682 ~ ~ ~ ~ ~ 1416 ~ 4215 3815 8125 
Qu ~ ~ ~ 626 1324 5546 4026 ~ ~ ~ ~ 9790 7270 ~ 8065 ~ 7197 ~ 262 1311 6550 ~ 2367 946 ~ ~ ~ 9169 ~ 5427 ~ ~ 915 4948 ~ ~ ~ ~ ~ ~ 6644 ~ ~ ~ 5888 9814 ~ ~ ~ 6714 ~ 4004 ~ ~ ~ 5617 3307 ~ ~ 580 ~ 4257 292 ~ 1943 3485 ~ 1471 ~ ~ 4299 ~ ~ ~ ~ ~ 9782 6592 7634 ~ ~ ~ 255 ~ ~ 5152 9922 82 ~ 1305 ~ ~ 5013 ~ ~ 5642 ~ ~ 8695 1886 7767 
Pv ~ ~ ~ ~ ~ 1825 1326 3722 ~ ~ ~ 9789 1387 3084 2422 ~ ~ ~ ~ 882 2021 ~ 1384 5675 5774 ~ ~ 8583 ~ ~ 2889 ~ 7327 ~ 6353 5599 121 1601 3347 4369 3551 ~ 8703 2415 ~ 1192 ~ 30 2151 ~ ~ ~ ~ 5301 9152 ~ ~ ~ 7963 9877 ~ ~ ~ 3241 ~ 6446 ~ ~ ~ 9986 ~ 1136 3723 1034 ~ ~ ~ ~ 8230 7069 8722 ~ ~ ~ 5934 3039 ~ ~ ~ ~ ~ 2560 8296 ~ ~ 6493 2160 ~ 6265 ~ ~ 
Wu ~ ~ ~ ~ ~ 2062 ~ 4852 8465 ~ ~ 6640 8669 6817 7268 ~ 3872 ~ 5673 ~ 2533 6738 ~ ~ ~ ~ ~ ~ 5193 ~ ~ ~ 8395 ~ 8607 6348 1591 5172 ~ 4356 ~ ~ 3372 ~ 2635 ~ 142 8581 5216 5174 ~ 8559 4004 ~ 7784 ~ ~ 4970 3355 5090 4303 2918 6208 3575 ~ ~ ~ ~ 4170 ~ ~ 6021 ~ 493 ~ 9093 ~ ~ ~ 8568 ~ ~ 8273 ~ 2609 216 ~ ~ ~ 3771 ~ ~ 9666 2306 9758 9410 ~ ~ 8056 ~ 3930 
Al ~ ~ 3086 3218 1190 1119 ~ 3909 ~ 534 653 1461 ~ ~ ~ ~ 2198 ~ ~ 6045 473 ~ ~ ~ 1653 ~ ~ 2774 8121 ~ 6969 ~ 6747 4323 ~ ~ ~ ~ ~ 563 54 5632 8118 ~ 6212 ~ ~ 5135 ~ ~ ~ ~ ~ ~ 8676 ~ 7014 35 ~ ~ ~ 6716 7013 ~ ~ 4135 8271 ~ 2236 ~ ~ 8476 6330 8337 ~ 2406 1010 5797 9449 ~ ~ ~ 2599 ~ 3654 ~ 2403 ~ 25 8408 615 ~ 9580 ~ ~ ~ 5457 1363 ~ ~ ~ 
Ok ~ 5991 4290 ~ ~ ~ ~ ~ 6227 ~ 7152 ~ 865 7577 ~ 1863 ~ 4643 ~ 3098 ~ ~ ~ 8034 5019 9937 2225 ~ ~ ~ ~ ~ ~ 6143 684 ~ ~ 738 ~ 9079 656 3962 ~ 5877 1819 ~ ~ 3999 ~ 4383 8113 ~ 8666 ~ ~ ~ 4842 ~ 2061 8575 ~ ~ 7479 ~ ~ ~ 3521 ~ 8543 6685 5882 4568 ~ ~ ~ ~ ~ ~ 6801 ~ 6031 5171 6018 ~ ~ 9980 9294 8080 3574 ~ ~ 2586 8278 1607 ~ 1208 4561 788 8186 8346 6022 
Mw ~ ~ ~ ~ 5834 ~ 493 9156 ~ ~ ~ 637 9719 6565 ~ 2376 7115 ~ ~ ~ ~ ~ 9886 2694 4879 8138 6985 ~ 2043 8611 ~ 8317 ~ ~ 9715 ~ ~ 1238 ~ ~ ~ ~ ~ 6282 4889 ~ 7639 ~ ~ ~ ~ ~ ~ ~ ~ ~ 6499 ~ ~ ~ ~ 7181 6206 201 ~ 6103 6820 ~ 7548 ~ ~ 7214 5866 ~ ~ ~ 193 ~ 8001 2125 3769 ~ ~ ~ ~ 7042 ~ 3654 ~ ~ ~ ~ ~ ~ 3695 ~ ~ ~ ~ 2503 ~ 
Hy ~ 3113 6092 ~ ~ 956 960 ~ ~ ~ 2285 ~ 4470 5119 ~ ~ ~ ~ 9609 5980 ~ ~ ~ 1001 6095 2955 7718 9017 ~ 4977 7005 ~ 3879 ~ ~ 4743 2507 2285 5187 3367 ~ ~ ~ 8263 ~ ~ ~ 7241 9076 ~ 3893 ~ 976 ~ 4457 7659 4092 ~ ~ ~ 5781 2016 ~ ~ 1888 1507 253 ~ ~ 7273 ~ 5639 ~ ~ ~ 7051 7020 ~ 704 ~ ~ ~ ~ ~ 5328 9584 ~ 7642 3391 ~ 3526 ~ ~ ~ ~ ~ 4946 2923 ~ ~ ~ 
Sk ~ ~ 9173 4709 ~ 6616 5791 ~ 3871 ~ 6063 ~ ~ ~ 8021 7383 ~ 7153 647 ~ ~ ~ 6347 2549 ~ ~ ~ ~ 5275 ~ ~ 5465 ~ ~ ~ ~ ~ 1253 8021 ~ 9258 ~ ~ 4536 6730 ~ ~ ~ 1103 3270 231 6745 4049 4165 8834 6703 ~ 9458 ~ ~ 8227 ~ ~ 5940 ~ ~ ~ ~ ~ ~ ~ 1066 ~ 4566 3188 6761 ~ 1469 7640 ~ ~ 2395 697 24 2085 6018 ~ 7327 ~ 5224 ~ 6281 ~ 8242 2506 6353 ~ 1337 8125 ~ ~ 
Ya ~ ~ 8949 ~ ~ ~ 5536 3360 ~ ~ 1073 ~ 7123 ~ ~ ~ ~ 5944 3121 ~ ~ ~ 6504 1928 ~ 5655 2874 2970 ~ 7695 7554 281 ~ ~ ~ 2164 3251 ~ ~ 5118 6016 ~ ~ ~ ~ 6763 4000 6233 ~ 3611 776 8872 ~ ~ 7244 ~ 6205 ~ ~ 8551 ~ 3842 5338 ~ ~ 7076 8867 2309 858 ~ 950 ~ 8682 ~ ~ 2826 9790 2739 2033 4242 6188 8342 2756 7374 3252 3043 ~ ~ ~ 5081 ~ ~ ~ 3930 9823 6349 1608 ~ ~ 898 ~ 
Yy ~ 3149 ~ ~ ~ 3023 4078 ~ 5541 3134 ~ ~ 7741 5052 4309 ~ ~ 3028 591 7680 6957 ~ ~ ~ ~ ~ 8728 6259 2417 9245 5322 2704 ~ ~ ~ ~ ~ ~ ~ 9990 ~ ~ ~ ~ ~ ~ ~ 2682 4016 ~ 7854 6913 9802 1926 888 ~ ~ 3823 5236 ~ ~ ~ ~ 1016 ~ ~ 1070 ~ 6921 ~ ~ 6827 ~ ~ ~ ~ 8920 ~ 2181 6844 8405 ~ 4883 ~ 1142 ~ 3143 8673 4577 9825 ~ ~ 2831 ~ ~ ~ ~ 6977 5305 ~ 2435 
Ma ~ 3541 ~ ~ ~ ~ 5767 ~ 4655 ~ 9385 ~ 1517 ~ 4986 9527 6640 ~ ~ 8332 1498 ~ 7672 3124 217 ~ 1612 797 8648 8602 ~ ~ ~ 246 7554 4326 6949 8662 326 5079 ~ ~ 1596 9362 ~ ~ 6585 2199 9027 ~ ~ 2150 4837 ~ ~ ~ ~ ~ 7914 591 ~ 9404 3285 7917 8445 436 ~ 4799 ~ ~ ~ ~ ~ 2339 ~ 8940 5997 ~ 8891 ~ ~ 8521 ~ ~ 6265 ~ ~ 3370 ~ 5568 4358 993 ~ ~ 5098 ~ ~ 5885 ~ 81 6911 
Fb ~ 234 5909 ~ 765 ~ ~ 521 ~ 1230 7267 ~ ~ 5698 ~ ~ ~ 1781 375 7851 ~ ~ ~ 8580 ~ ~ 7249 6356 ~ 6108 ~ 1894 ~ ~ ~ ~ ~ 9599 ~ 9513 ~ ~ ~ ~ 5835 ~ 4046 1812 ~ ~ 1529 8180 ~ 4035 ~ 4957 ~ ~ ~ ~ ~ ~ 7101 2615 ~ ~ 7444 ~ 2826 2563 ~ ~ ~ 8499 ~ ~ 7234 2791 5600 3583 ~ 230 967 7360 9354 9554 ~ 865 ~ ~ 1787 ~ ~ 7258 5990 3490 ~ 2278 2440 2546 8531 
Sv ~ ~ 9427 ~ 9571 4730 101 8612 ~ ~ ~ ~ ~ 233 ~ ~ ~ ~ 8632 ~ ~ 908 ~ 1507 9023 ~ 8775 ~ ~ ~ ~ 7875 ~ 7311 ~ ~ ~ 1561 554 6730 ~ ~ 4932 383 3956 1703 135 2753 ~ ~ 4528 ~ ~ ~ ~ 2884 ~ ~ 6893 ~ ~ ~ ~ 4615 312 5109 1839 5587 ~ 9040 3986 ~ 647 1060 6109 ~ 4311 ~ 8717 6046 ~ 9139 1486 ~ ~ ~ 1210 ~ 4491 9539 ~ 9279 3973 8786 3735 7148 ~ ~ ~ ~ 7440 
It ~ ~ 3879 2402 ~ ~ 8911 ~ ~ 2034 8214 ~ ~ ~ ~ ~ 9071 5201 ~ ~ ~ ~ 8601 ~ 7914 5299 6138 ~ ~ 5625 ~ ~ ~ 3529 ~ ~ ~ ~ ~ 6982 ~ ~ 4735 9308 ~ 8044 1409 4357 6738 9059 2415 7203 1550 6660 ~ ~ ~ ~ ~ ~ 9816 8168 401 4998 ~ ~ 7619 1943 9300 ~ ~ 4024 ~ 6152 ~ ~ 2456 ~ 2712 3597 ~ ~ 4931 7259 ~ 3815 5491 8489 6051 ~ 8237 3841 ~ 5067 6249 8139 ~ 2924 297 4701 ~ 
Wa ~ 1207 751 ~ ~ ~ ~ ~ 7982 ~ 4773 7783 8597 ~ 130 ~ ~ ~ 3065 4878 ~ 8971 ~ ~ ~ 9163 2959 5718 6538 3859 ~ 218 ~ ~ ~ ~ 8572 976 1123 ~ ~ ~ 3434 ~ 8206 6564 6726 6443 ~ 2133 7711 3764 ~ ~ ~ 2884 9855 6439 7203 ~ 8260 ~ 8803 ~ ~ 541 ~ ~ ~ ~ ~ ~ ~ ~ 6870 4956 6392 2290 622 ~ ~ ~ ~ 5189 ~ 2652 1406 ~ ~ 9636 ~ ~ ~ ~ ~ 6513 8786 6254 9046 5692 ~ 
Wj ~ 6105 4849 ~ 954 ~ ~ 2207 ~ 2167 9450 3722 6799 ~ 3653 4290 9357 ~ ~ 3630 3267 ~ 9023 5812 ~ 667 3303 ~ 1159 ~ ~ 4983 ~ ~ 2422 ~ 9534 6222 5062 2019 ~ ~ ~ 5532 ~ 6576 4796 2241 ~ ~ 1027 ~ 1889 1211 ~ ~ ~ ~ ~ 3190 ~ ~ ~ 614 4216 8691 ~ 6484 890 4444 5298 ~ ~ ~ ~ ~ 7427 5542 5500 2856 1843 ~ ~ 5667 3759 2900 1891 ~ 2159 739 3496 3901 6594 ~ 3770 2557 ~ ~ 8759 615 5747 
Kg ~ ~ ~ ~ 1134 ~ ~ 7893 7827 8649 ~ 1250 497 170 ~ ~ 6283 ~ ~ ~ ~ ~ ~ 212 ~ 9944 ~ 1461 ~ 915 ~ 2778 ~ ~ 5050 ~ ~ 1356 7470 ~ 8425 5336 ~ 5574 3512 ~ ~ 7813 4174 ~ ~ ~ 7133 ~ ~ ~ ~ 9740 1542 ~ 1630 6514 2118 5567 4001 ~ 2176 6664 ~ 1927 ~ ~ ~ ~ 3587 ~ ~ 9028 8267 ~ 8561 ~ 2422 ~ ~ 8369 ~ ~ 9017 ~ 6717 ~ 4895 ~ ~ ~ ~ 9297 5016 9879 4876 
Vq ~ ~ ~ ~ ~ ~ 363 ~ 8093 905 3800 3497 ~ 6168 ~ ~ ~ ~ 9556 9172 ~ ~ ~ ~ 1859 ~ ~ ~ 5999 1047 ~ 5164 ~ ~ ~ ~ 3991 2047 ~ ~ ~ 6994 858 ~ 5729 ~ ~ 8567 ~ ~ ~ 9911 ~ 1527 ~ ~ ~ ~ ~ 9218 ~ 5584 ~ ~ 5249 4862 ~ ~ ~ ~ ~ ~ 7128 ~ 5184 2279 8189 ~ 4230 5569 2475 ~ 8993 3323 7238 9573 624 ~ 2921 ~ ~ ~ 79 ~ ~ ~ 2618 3467 ~ 6411 4702 
Fm ~ ~ 3601 ~ ~ ~ ~ 7866 3969 ~ ~ ~ 8351 ~ ~ 6148 ~ 3456 ~ ~ 3353 7458 ~ ~ 6227 4408 7820 ~ 6326 7188 4268 7365 ~ ~ 2860 ~ ~ ~ 8946 6881 5061 ~ 2343 4384 ~ ~ 3560 476 ~ 4954 1365 ~ 512 6503 ~ ~ 439 ~ ~ 5893 7852 3391 ~ ~ 539 ~ ~ 6058 5411 ~ ~ 366 314 ~ ~ ~ 5927 8885 8009 ~ ~ 9336 ~ 2326 4622 2005 ~ 8040 5991 ~ 8109 ~ 5991 ~ ~ 6834 ~ 9476 ~ ~ 7547 
Fg ~ ~ 2308 ~ 9029 7337 ~ ~ ~ ~ ~ ~ ~ ~ 3237 ~ ~ ~ 9503 ~ 3312 ~ ~ ~ 6031 ~ 7420 6798 1863 ~ ~ ~ ~ ~ 204 ~ 6041 4024 ~ 3652 1429 6616 7190 3567 ~ ~ 6560 7351 298 5868 ~ ~ ~ 6918 2559 ~ ~ 580 6633 4081 ~ 8181 ~ ~ ~ 2546 4575 2386 562 3324 5203 9786 ~ ~ 4569 ~ ~ 3814 ~ 8349 9617 ~ 5759 ~ ~ 7610 ~ ~ 607 ~ ~ ~ 8632 5637 909 ~ 7871 9963 4076 4986 9356 
Xj ~ 8958 ~ 3745 ~ ~ ~ ~ 8053 1280 8809 ~ 9698 8222 ~ ~ ~ 1237 ~ ~ ~ 8366 ~ ~ 3400 ~ 4124 2755 9997 ~ ~ ~ 184 ~ 9629 ~ ~ ~ ~ 466 ~ ~ 8684 ~ ~ ~ ~ 7432 ~ ~ ~ ~ ~ 8688 7577 ~ 1480 2339 5720 2091 ~ ~ ~ ~ 1153 ~ ~ 8160 2651 ~ ~ ~ 6698 8807 7154 8902 4170 9421 ~ ~ 3309 ~ ~ 7542 216 665 ~ ~ 1737 2232 ~ 8189 9203 2197 ~ ~ ~ ~ ~ ~ ~ 
Om ~ 2274 9760 ~ 8 ~ 1218 ~ ~ 5401 5892 ~ ~ ~ ~ ~ 4418 ~ ~ ~ ~ 9355 7793 ~ 7300 1547 6210 ~ ~ 3748 6655 ~ ~ ~ 1404 3989 ~ ~ ~ ~ ~ ~ ~ 964 331 ~ ~ 3406 9012 ~ 9643 ~ ~ 172 7665 7370 7806 ~ 4309 ~ 8410 82 4547 ~ 7882 1206 6081 4287 ~ ~ ~ 5 ~ ~ 449 5298 ~ 4597 8123 3111 349 ~ 9403 ~ ~ ~ ~ 4635 119 ~ 8067 521 3140 547 ~ 752 8456 ~ 4684 993 4680 
Mg ~ ~ 823 2488 ~ ~ ~ 3412 ~ ~ 4644 4298 8 9849 4395 ~ 93 ~ ~ ~ 7310 6375 2103 4072 ~ 6218 ~ 1078 9277 4532 3733 ~ ~ 6561 ~ 2538 4384 ~ ~ ~ ~ 5178 ~ 2610 8688 3697 4403 ~ ~ 1021 6810 ~ 2606 6004 5852 725 4918 6854 2319 ~ 8669 4450 4685 ~ 4897 ~ ~ ~ ~ ~ ~ ~ ~ ~ 5386 2675 2468 3331 1709 147 ~ ~ 7764 ~ ~ ~ ~ 5183 ~ 9302 6613 7898 5652 ~ ~ ~ ~ ~ 1026 3373 4269 
Ui ~ 5595 3712 ~ ~ ~ ~ ~ 9126 ~ 8679 ~ 5969 ~ 865 6483 3026 9250 ~ 547 7228 5051 3135 ~ ~ ~ ~ 8172 ~ 2477 ~ 2324 ~ ~ ~ ~ 7347 9990 1702 ~ ~ 6614 ~ ~ 7061 4035 837 ~ ~ ~ ~ 5613 6182 ~ 75 ~ 4653 3025 ~ 3362 ~ ~ 6190 5054 ~ 9426 1757 1747 9247 9623 6343 8653 6676 ~ 6648 ~ ~ 1764 8907 1835 ~ ~ ~ 8057 7087 7884 9213 6890 ~ ~ 809 ~ ~ ~ ~ 3515 ~ ~ 4423 2050 259 
Wt ~ ~ ~ ~ ~ ~ ~ 4370 ~ 1662 ~ ~ ~ ~ ~ ~ 1323 2016 8072 ~ ~ ~ 3825 ~ 9843 8550 ~ ~ ~ 2963 ~ ~ 4134 7588 3246 ~ ~ ~ ~ ~ ~ ~ 9819 6051 7919 3233 ~ ~ ~ ~ 5006 ~ 9219 7121 8636 4966 4066 ~ 9759 7284 ~ ~ ~ 293 2719 ~ 7516 3565 ~ ~ ~ 2697 ~ ~ ~ ~ ~ 5650 ~ ~ ~ ~ 7752 ~ ~ 3977 ~ 6814 ~ 9616 ~ 4944 1117 6550 1522 ~ 7197 1006 2728 5835 3 
Jl ~ 5908 ~ 8099 ~ ~ ~ 6447 6141 4489 ~ ~ 1204 8596 ~ 5355 5289 4452 ~ ~ ~ ~ ~ ~ ~ 1973 ~ 6447 ~ 9362 6133 ~ ~ 3876 9574 3303 989 ~ 4732 ~ 3822 5570 30 ~ 4474 ~ ~ 6533 4822 ~ 5769 2396 6279 ~ 9809 6659 ~ ~ 8224 4934 4781 4597 ~ 1921 ~ ~ 7956 ~ 6195 6179 2940 1600 ~ ~ 8029 7425 ~ ~ 5947 9522 ~ ~ 5992 ~ ~ 2280 ~ ~ 8035 ~ ~ ~ ~ ~ ~ ~ 4253 ~ 4463 8820 5431 
Ek ~ 7890 1346 3 ~ 5671 ~ ~ 201 ~ ~ 6043 2222 ~ ~ ~ ~ ~ ~ ~ ~ ~ 2643 ~ 2227 8035 ~ ~ ~ 9130 ~ ~ 3812 6613 ~ 8751 ~ 9175 ~ ~ ~ ~ 2844 5568 2256 ~ 2106 886 858 ~ ~ ~ 2938 9065 ~ 8017 3992 2291 ~ 8236 ~ ~ ~ 2207 4343 9918 ~ ~ 4820 629 ~ 4144 ~ ~ 399 6410 6544 ~ 6602 7479 6516 ~ 4270 690 ~ ~ 3312 6624 ~ 6689 3978 2054 ~ ~ 5072 ~ ~ ~ ~ ~ ~ 
Ko ~ 80 ~ 5418 ~ ~ ~ ~ 8818 ~ ~ ~ ~ 4580 9884 7306 ~ 5192 ~ 5076 ~ ~ 8604 ~ ~ ~ ~ ~ ~ 6191 2167 4454 ~ 2626 9531 5492 ~ ~ ~ ~ 3913 ~ 6131 9070 2512 971 ~ ~ ~ 2967 7558 8073 4936 3764 ~ ~ ~ 3953 966 5494 4188 ~ 6907 3155 ~ 5916 4191 ~ ~ 2813 ~ 1510 1144 271 1308 763 ~ ~ ~ 9851 5808 ~ ~ ~ 8709 1130 ~ ~ 2989 9476 ~ 1929 2275 105 ~ 3164 ~ ~ ~ 5093 2488 
Kx ~ ~ ~ 4505 ~ ~ ~ 3899 9673 2698 ~ ~ ~ ~ ~ ~ 416 ~ 8722 6170 ~ ~ ~ ~ ~ ~ ~ ~ 3981 6651 4723 7780 6749 7817 9469 1269 6765 3817 2580 ~ 7077 5459 7307 7294 ~ 6206 9715 263 8705 ~ 5440 ~ 9728 ~ 3113 ~ 1912 5087 ~ 225 ~ ~ 1835 5278 ~ ~ 5817 ~ ~ 8160 1024 3500 ~ 9884 5311 ~ 1008 ~ 7920 ~ 7642 2152 ~ 6787 ~ 4831 5942 ~ 8163 5348 ~ 5638 3841 ~ 3626 784 319 ~ ~ ~ ~ 
Ye ~ 7580 ~ 4089 ~ 843 5162 ~ ~ ~ ~ ~ ~ ~ 9683 ~ 279 ~ 5958 3225 ~ ~ 8188 ~ ~ 4105 4138 7608 5770 5627 ~ ~ ~ 8009 1868 ~ 6994 3404 1828 5240 6690 3739 5268 ~ ~ ~ ~ 1382 7156 ~ ~ ~ 3626 7841 ~ 4502 5903 ~ ~ ~ 324 ~ ~ ~ ~ 5081 4127 9892 ~ ~ ~ 6776 9383 ~ ~ ~ 9802 ~ ~ 7961 ~ ~ 2588 1395 8465 959 ~ ~ ~ ~ ~ ~ 548 23 ~ 2035 ~ ~ 1910 2981 4013 
Ot ~ 697 ~ 1890 195 5219 ~ 5493 ~ 55 1606 3211 ~ 6024 5930 ~ 1777 6068 ~ ~ 4797 ~ ~ 6624 3090 ~ ~ 2463 5287 ~ ~ ~ 5041 ~ 965 ~ 3589 ~ ~ 7523 7491 4904 ~ ~ 5174 8614 ~ ~ ~ ~ ~ ~ 2856 9758 3532 1918 2416 ~ ~ 3405 ~ 124 ~ 8842 ~ ~ ~ 638 9906 8203 3953 ~ 5431 4853 2441 960 ~ ~ ~ ~ 4349 3171 5952 ~ 9164 ~ ~ ~ ~ 9431 1581 ~ ~ 1869 ~ ~ ~ 7323 ~ ~ ~ 
Va ~ 8982 4880 ~ ~ 8445 ~ 74 3670 ~ 5159 2248 ~ 4157 1994 ~ ~ 6301 6203 ~ ~ ~ 5367 ~ 4974 ~ 1495 775 8601 ~ 4618 ~ 9211 8584 ~ 7448 ~ ~ 5613 ~ ~ 6778 ~ ~ 345 9589 ~ ~ ~ 5047 3883 ~ 7879 ~ ~ 1104 2990 ~ 1289 536 7797 ~ 3755 ~ ~ 9046 1118 ~ 1127 2105 2810 8295 8617 9628 ~ ~ 5182 ~ ~ ~ ~ ~ ~ 2845 3756 9345 9811 26 7373 ~ ~ ~ ~ 2856 762 ~ ~ ~ 1812 6141 1498 
Au ~ ~ 5021 ~ 8441 3854 7314 6868 5471 1033 ~ ~ ~ ~ 816 5678 1365 4077 19 6173 5486 282 8506 9950 ~ ~ ~ ~ 3178 ~ ~ ~ ~ ~ 5823 7651 2219 ~ 5557 8216 ~ 9467 ~ ~ 4754 ~ 2279 ~ ~ 457 ~ ~ ~ ~ 8469 7645 ~ 1223 3246 ~ ~ ~ ~ ~ ~ 2643 ~ 4677 ~ 860 1626 ~ ~ ~ ~ 2752 6883 9318 445 ~ 8637 ~ 1778 ~ ~ ~ ~ 7537 8747 4156 ~ ~ 760 ~ 925 ~ ~ ~ 8479 7998 ~ 
Bu ~ ~ ~ ~ ~ 8072 500 ~ ~ ~ 6063 7295 ~ 6773 8604 ~ ~ ~ 12 ~ 6896 550 4968 3626 295 ~ ~ 3375 5421 ~ 5509 7579 ~ 235 3346 1884 ~ ~ ~ 1412 6189 ~ 6021 ~ ~ 1443 ~ 6505 ~ ~ ~ 6389 ~ ~ ~ 2097 7044 ~ 1413 4685 ~ ~ ~ ~ ~ 9313 1473 ~ ~ 7468 ~ ~ ~ 3176 2863 8639 ~ 8615 324 ~ 1913 ~ ~ ~ ~ 7406 ~ 6097 ~ 2068 ~ ~ 4067 993 ~ ~ 2835 ~ ~ ~ ~ 
Ue ~ ~ 5750 6705 5178 ~ 3024 9249 7554 ~ 5168 8524 ~ 2389 ~ 7077 3948 ~ 5874 ~ 715 2671 ~ ~ ~ ~ 6902 ~ 6839 7455 ~ 5404 ~ 8732 ~ ~ ~ 3177 ~ 6618 ~ ~ 5668 5965 ~ ~ 7357 ~ ~ 8602 ~ 7106 7216 ~ ~ ~ 7747 270 ~ 4495 8240 3524 ~ ~ ~ ~ 4613 6308 ~ ~ ~ 763 5221 5794 3036 4555 ~ ~ ~ 7009 663 8093 2743 7387 ~ 7718 4993 6415 ~ 1426 ~ 1946 9460 ~ 952 1941 ~ ~ ~ ~ ~ 
Ci ~ 7210 1366 4236 ~ 6841 7999 ~ 6014 5348 651 ~ ~ ~ ~ 973 7033 2037 3952 ~ 5987 ~ 2232 7956 4365 ~ 5158 8383 ~ ~ ~ ~ ~ ~ ~ 4744 1706 ~ ~ 143 2376 ~ 8290 ~ 2155 6319 ~ 6757 6446 7734 ~ 5956 ~ 6097 6733 5472 1671 ~ ~ 6341 ~ ~ ~ 8012 ~ 9106 3903 ~ ~ ~ 7787 9630 3022 ~ 4222 ~ 1332 ~ ~ ~ ~ ~ 1653 ~ 3725 7726 ~ 9585 1048 9442 5587 814 699 1383 6571 ~ ~ 6336 ~ ~ 917 
Bo ~ ~ ~ ~ ~ ~ 9774 6350 9035 4788 ~ 518 ~ 952 ~ 9993 ~ 6904 ~ ~ ~ 3084 8874 ~ 3822 9019 2964 ~ ~ ~ ~ ~ ~ 5361 174 8227 ~ ~ 3401 9385 6981 4562 ~ 3713 5277 9685 3231 ~ ~ ~ ~ ~ ~ ~ ~ 5404 ~ ~ 9396 5986 ~ 8088 8412 1288 5891 1528 9241 ~ ~ ~ ~ 2044 ~ ~ 2585 7796 5962 ~ ~ ~ 5982 9227 1892 2050 7460 1288 9563 ~ 2642 8343 ~ ~ ~ ~ 2184 ~ ~ 7519 ~ ~ 5480 
Gw ~ 4638 ~ 4679 ~ 781 5557 66 5512 ~ 258 1709 6379 ~ ~ ~ 6055 7335 ~ 1362 ~ 7419 8151 ~ 7714 1821 ~ ~ 4140 ~ ~ 8328 ~ 9335 ~ ~ ~ 5512 1745 ~ 8674 9081 ~ ~ ~ 2738 ~ 3858 ~ 8735 ~ 8103 610 8597 ~ 6507 ~ 1347 ~ 8697 ~ ~ ~ ~ 2652 9368 5488 ~ ~ 7782 3982 2363 ~ 6365 ~ 3392 281 5672 8017 1806 ~ 5811 ~ 1738 2179 756 5787 635 8013 ~ ~ 1335 ~ 1182 77 ~ ~ 5527 177 2109 ~ 
Lu ~ ~ 7143 1597 ~ ~ ~ ~ 7699 5434 ~ ~ ~ ~ 9149 2320 ~ ~ ~ 2457 1692 ~ ~ 1751 ~ ~ 6176 1836 1002 1462 4651 ~ 3850 ~ ~ 3077 ~ ~ 4954 6025 ~ 1167 8739 9292 942 9030 5864 1108 ~ ~ ~ ~ ~ ~ ~ ~ 6905 ~ 2947 ~ ~ 7447 1742 3817 9908 7184 ~ ~ ~ ~ ~ 8627 5114 3425 4077 6831 6462 2233 7543 ~ 9641 ~ ~ ~ ~ 6266 6045 ~ ~ 9121 ~ ~ ~ ~ 1178 ~ ~ 8862 ~ 9833 ~ 
